"","Kanal 1 Durchschn. (V)"
"970","1,296848"
"971","1,298700"
"972","1,299394"
"973","1,300166"
"974","1,302249"
"975","1,303484"
"976","1,303870"
"977","1,305181"
"978","1,306879"
"979","1,307959"
"980","1,308422"
"981","1,310274"
"982","1,311817"
"983","1,312357"
"984","1,313515"
"985","1,315366"
"986","1,316292"
"987","1,316755"
"988","1,317913"
"989","1,319687"
"990","1,321308"
"991","1,321848"
"992","1,323237"
"993","1,324935"
"994","1,325783"
"995","1,327018"
"996","1,328407"
"997","1,329796"
"998","1,330336"
"999","1,331416"
"1000","1,333036"
"1001","1,334348"
"1002","1,334734"
"1003","1,336509"
"1004","1,338052"
"1005","1,339055"
"1006","1,339827"
"1007","1,341293"
"1008","1,342604"
"1009","1,343376"
"1010","1,344765"
"1011","1,346694"
"1012","1,347543"
"1013","1,348237"
"1014","1,349472"
"1015","1,351015"
"1016","1,352172"
"1017","1,352867"
"1018","1,354256"
"1019","1,356030"
"1020","1,356571"
"1021","1,357497"
"1022","1,359426"
"1023","1,360737"
"1024","1,361277"
"1025","1,362435"
"1026","1,364364"
"1027","1,365290"
"1028","1,366061"
"1029","1,367605"
"1030","1,369379"
"1031","1,370382"
"1032","1,370845"
"1033","1,372620"
"1034","1,373700"
"1035","1,374395"
"1036","1,375629"
"1037","1,377095"
"1038","1,378407"
"1039","1,379179"
"1040","1,380259"
"1041","1,382265"
"1042","1,383114"
"1043","1,383731"
"1044","1,385197"
"1045","1,386818"
"1046","1,387512"
"1047","1,388284"
"1048","1,390136"
"1049","1,391679"
"1050","1,391910"
"1051","1,393299"
"1052","1,395074"
"1053","1,396000"
"1054","1,396694"
"1055","1,398469"
"1056","1,399781"
"1057","1,400398"
"1058","1,401401"
"1059","1,403099"
"1060","1,404256"
"1061","1,405105"
"1062","1,406262"
"1063","1,408114"
"1064","1,409580"
"1065","1,410198"
"1066","1,411509"
"1067","1,413361"
"1068","1,414364"
"1069","1,414904"
"1070","1,416602"
"1071","1,418068"
"1072","1,418685"
"1073","1,419843"
"1074","1,421695"
"1075","1,422698"
"1076","1,423006"
"1077","1,424472"
"1078","1,426401"
"1079","1,427096"
"1080","1,428176"
"1081","1,429642"
"1082","1,430877"
"1083","1,431571"
"1084","1,432497"
"1085","1,434195"
"1086","1,435584"
"1087","1,436355"
"1088","1,437590"
"1089","1,439210"
"1090","1,440059"
"1091","1,440831"
"1092","1,442065"
"1093","1,443917"
"1094","1,444457"
"1095","1,445460"
"1096","1,447004"
"1097","1,448315"
"1098","1,449010"
"1099","1,450167"
"1100","1,451865"
"1101","1,452868"
"1102","1,453639"
"1103","1,455028"
"1104","1,456494"
"1105","1,457497"
"1106","1,458269"
"1107","1,459735"
"1108","1,460970"
"1109","1,461818"
"1110","1,462899"
