"","Kanal 1 Durchschn. (V)","Kanal 4 Durchschn. (V)"
"773","0,002574","0,001450"
"774","0,002019","0,001587"
"775","0,001935","0,001308"
"776","0,002650","0,001526"
"777","0,002195","0,001282"
"778","0,001817","0,001483"
"779","0,002195","0,001679"
"780","0,002650","0,001603"
"781","0,002379","0,001425"
"782","0,001682","0,001526"
"783","0,002439","0,001832"
"784","0,002366","0,001395"
"785","0,001798","0,001343"
"786","0,002176","0,001744"
"787","0,002555","0,001657"
"788","0,001850","0,001308"
"789","0,002082","0,001526"
"790","0,002271","0,001570"
"791","0,003028","0,001221"
"792","0,002082","0,001323"
"793","0,001968","0,001450"
"794","0,002744","0,001657"
"795","0,002187","0,001526"
"796","0,001947","0,001323"
"797","0,002366","0,001483"
"798","0,002460","0,001744"
"799","0,002055","0,001587"
"800","0,002019","0,001425"
"801","0,002355","0,001526"
"802","0,002176","0,001570"
"803","0,001947","0,001323"
"804","0,001850","0,001570"
"805","0,002595","0,001657"
"806","0,002163","0,001526"
"807","0,002082","0,001221"
"808","0,002355","0,001450"
"809","0,002187","0,001395"
"810","0,001893","0,001323"
"811","0,002019","0,001832"
"812","0,002744","0,001755"
"813","0,002103","0,001425"
"814","0,001893","0,001395"
"815","0,002366","0,001603"
"816","0,002839","0,001450"
"817","0,002082","0,001587"
"818","0,001850","0,001308"
"819","0,002355","0,001526"
"820","0,002120","0,001395"
"821","0,002103","0,001323"
"822","0,002271","0,001450"
"823","0,002608","0,001657"
"824","0,002019","0,001308"
"825","0,001893","0,001308"
"826","0,002608","0,001395"
"827","0,002555","0,001395"
"828","0,001987","0,001679"
"829","0,002176","0,001323"
"830","0,002608","0,001526"
"831","0,002019","0,001221"
"832","0,001665","0,001343"
"833","0,002103","0,001483"
"834","0,002692","0,001526"
"835","0,002120","0,001221"
"836","0,002187","0,001395"
"837","0,002439","0,001450"
"838","0,002366","0,001587"
"839","0,002271","0,001587"
"840","0,002176","0,001483"
"841","0,002355","0,001450"
"842","0,002019","0,001221"
"843","0,002379","0,001221"
"844","0,002271","0,001308"
"845","0,002744","0,001308"
"846","0,001935","0,001526"
"847","0,002082","0,001221"
"848","0,002439","0,001374"
"849","0,002271","0,001526"
"850","0,002082","0,001709"
"851","0,002271","0,001297"
"852","0,002523","0,001483"
"853","0,002163","0,001221"
"854","0,001987","0,001221"
"855","0,002839","0,001832"
"856","0,002271","0,001323"
"857","0,001987","0,001323"
"858","0,002082","0,001483"
"859","0,002523","0,001570"
"860","0,002019","0,001323"
"861","0,001987","0,001425"
"862","0,002379","0,001374"
"863","0,002103","0,001570"
"864","0,002055","0,001465"
"865","0,001987","0,001323"
"866","0,002439","0,001450"
"867","0,002103","0,001730"
"868","0,001947","0,001047"
"869","0,001935","0,001526"
"870","0,002422","0,001603"
"871","0,001893","0,001134"
"872","0,002163","0,001221"
"873","0,002103","0,001744"
"874","0,002103","0,001483"
"875","0,001893","0,001221"
"876","0,002523","0,001628"
"877","0,002439","0,001483"
"878","0,002019","0,001425"
"879","0,002055","0,001308"
"880","0,002487","0,001425"
"881","0,002650","0,001450"
"882","0,001893","0,001323"
"883","0,001850","0,001395"
"884","0,002608","0,001628"
"885","0,002523","0,001526"
"886","0,001893","0,001308"
"887","0,002650","0,001221"
"888","0,002744","0,001603"
"889","0,002379","0,001134"
"890","0,002163","0,001425"
"891","0,002271","0,001744"
"892","0,002355","0,001570"
"893","0,002055","0,001587"
"894","0,002271","0,001395"
"895","0,002355","0,001603"
"896","0,002082","0,001323"
"897","0,001798","0,001323"
"898","0,002044","0,001221"
"899","0,002439","0,001570"
"900","0,002082","0,001308"
"901","0,002379","0,001628"
"902","0,002187","0,001570"
